@T,table,,,
Created,7/20/17 10:01,,,
Author,HortonMachine library,,,
@H,timestamp,value_42,,
ID,,42,,
Type,Date,Double,,
Format,yyyy-MM-dd HH:mm,,,
,1994-09-03 00:00,3.588634689,0,0
,1994-09-04 00:00,0.297628647,0,0
,1994-09-05 00:00,0.015541056,0.063502884,4.086136972
,1994-09-06 00:00,0.006805498,0.063722211,9.363342481
,1994-09-07 00:00,2.31E-04,0,0
,1994-09-08 00:00,8.263152711,42.21933071,5.10934896
,1994-09-09 00:00,4.501793544,11.39783336,2.531842754
,1994-09-10 00:00,0.648441981,0.06408558,0.098830092
,1994-09-11 00:00,0.027082051,0,0
,1994-09-12 00:00,0.001154934,0,0
,1994-09-13 00:00,5.980850725,31.23361216,5.222269139
,1994-09-14 00:00,12.80983705,51.85819319,4.048310136
,1994-09-15 00:00,4.533442937,3.05149718,0.673108104
,1994-09-16 00:00,4.727295344,17.60512314,3.724142848
,1994-09-17 00:00,3.893882607,13.52463911,3.473304276
,1994-09-18 00:00,1.028618877,1.543748074,1.500796951
,1994-09-19 00:00,0.073496917,0,0
,1994-09-20 00:00,0.00491616,0,0
,1994-09-21 00:00,2.258651659,13.42034992,5.941752842
,1994-09-22 00:00,0.519491613,1.9149029,3.686109362
,1994-09-23 00:00,0.033635515,0,0
,1994-09-24 00:00,0.238136354,1.943211878,8.160080753
,1994-09-25 00:00,0.039037292,0.176394729,4.518621001
,1994-09-26 00:00,14.51720615,68.77671829,4.737600167
,1994-09-27 00:00,5.732793255,4.911420103,0.856723744
,1994-09-28 00:00,1.580185471,0.629607916,0.398439251
,1994-09-29 00:00,0.175844541,0.06359714,0.361666846
,1994-09-30 00:00,0.024607846,0.063841708,2.594363893
,1994-10-01 00:00,0.002272016,0,0
,1994-10-02 00:00,4.108551506,21.23373975,5.168181466
,1994-10-03 00:00,2.550023281,7.145672093,2.802198767
,1994-10-04 00:00,0.741868181,1.624443204,2.189665557
,1994-10-05 00:00,0.079464114,0,0
,1994-10-06 00:00,0.00925073,0,0
,1994-10-07 00:00,0.00116912,0,0
,1994-10-08 00:00,0.136016101,0.886772172,6.519611762
,1994-10-09 00:00,0.131792086,0.744592622,5.64975215
,1994-10-10 00:00,0.017461059,0,0
,1994-10-11 00:00,0.00226838,0,0
,1994-10-12 00:00,2.94E-04,0,0
,1994-10-13 00:00,3.90E-05,0,0
,1994-10-14 00:00,5.38E-06,0,0
,1994-10-15 00:00,7.76E-07,0,0
,1994-10-16 00:00,1.17E-07,0,0
,1994-10-17 00:00,1.82E-08,0,0
,1994-10-18 00:00,3.16E-09,0,0
,1994-10-19 00:00,5.74E-10,0,0
,1994-10-20 00:00,0.252153408,1.498834107,5.944135826
,1994-10-21 00:00,0.047316753,0,0
,1994-10-22 00:00,0.009086392,0,0
,1994-10-23 00:00,3.163989925,15.34715854,4.850571243
,1994-10-24 00:00,1.605310292,2.72296691,1.696224664
,1994-10-25 00:00,0.965418731,2.762860514,2.861826092
,1994-10-26 00:00,4.634657352,20.2676303,4.373059055
,1994-10-27 00:00,1.508516537,0,0
,1994-10-28 00:00,5.372782901,22.59868457,4.206141396
,1994-10-29 00:00,1.994568685,0.91553941,0.459016236
,1994-10-30 00:00,0.558904871,0,0
,1994-10-31 00:00,0.109914663,0,0
,1994-11-01 00:00,0.032473759,0.061871694,1.905282791
,1994-11-02 00:00,0.006521607,0,0
,1994-11-03 00:00,0.049920511,0.207667102,4.159955442
,1994-11-04 00:00,0.201086804,1.129096585,5.614971056
,1994-11-05 00:00,0.557473245,2.766725878,4.962975176
,1994-11-06 00:00,35.73266598,161.1534066,4.509974337
,1994-11-07 00:00,14.01412961,4.44960888,0.317508758
,1994-11-08 00:00,5.08284894,0.172345475,0.033907259
,1994-11-09 00:00,1.799357767,0.159016955,0.088374284
,1994-11-10 00:00,16.67760561,72.83193771,4.367050009
,1994-11-11 00:00,6.356414238,1.415066811,0.222620295
,1994-11-12 00:00,2.264370608,0,0
,1994-11-13 00:00,0.770088206,0,0
,1994-11-14 00:00,0.222149643,0,0
,1994-11-15 00:00,0.060462219,0,0
,1994-11-16 00:00,0.029150746,0.062784309,2.153780533
,1994-11-17 00:00,0.00819987,0,0
,1994-11-18 00:00,0.002344348,0,0
,1994-11-19 00:00,6.81E-04,0,0
,1994-11-20 00:00,2.01E-04,0,0
,1994-11-21 00:00,6.02E-05,0,0
,1994-11-22 00:00,1.83E-05,0,0
,1994-11-23 00:00,0.048236368,0,0
,1994-11-24 00:00,0.010974682,0,0
,1994-11-25 00:00,0.002665066,0,0
,1994-11-26 00:00,7.80E-04,0,0
,1994-11-27 00:00,2.32E-04,0,0
,1994-11-28 00:00,7.02E-05,0,0
,1994-11-29 00:00,2.21E-05,0,0
,1994-11-30 00:00,7.05E-06,0,0
,1994-12-01 00:00,2.22E-06,0,0
,1994-12-02 00:00,7.02E-07,0,0
,1994-12-03 00:00,2.27E-07,0,0
,1994-12-04 00:00,7.40E-08,0,0
,1994-12-05 00:00,2.64E-08,0,0
,1994-12-06 00:00,9.58E-09,0,0
,1994-12-07 00:00,0.01946597,0.088330086,4.537666721
,1994-12-08 00:00,0.007065528,0,0
,1994-12-09 00:00,0.002583175,0,0
,1994-12-10 00:00,0.168843245,0.758864952,4.494493999
,1994-12-11 00:00,0.062113959,0,0
,1994-12-12 00:00,0.022850448,0,0
,1994-12-13 00:00,0.00840621,0,0
,1994-12-14 00:00,0.003092472,0,0
,1994-12-15 00:00,0.001137657,0,0
,1994-12-16 00:00,4.16E-04,0,0
,1994-12-17 00:00,1.53E-04,0,0
